rank,gid,role,priority_score,why
1,100071,coordinator,0.93530783,"жоларалық орталықтық +0.25; бақыланған айналым +0.18. 5 кіріс, 6 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
2,100019,coordinator,0.93482706,"жоларалық орталықтық +0.25; бақыланған айналым +0.18. 5 кіріс, 6 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
3,100123,coordinator,0.93434629,"жоларалық орталықтық +0.25; бақыланған айналым +0.18. 5 кіріс, 6 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
4,100175,coordinator,0.91613668,"жоларалық орталықтық +0.24; бақыланған айналым +0.18. 5 кіріс, 5 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
5,100072,coordinator,0.82316297,"жоларалық орталықтық +0.24; бақыланған айналым +0.15. 3 кіріс, 5 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
6,100020,coordinator,0.82268220,"жоларалық орталықтық +0.24; бақыланған айналым +0.15. 3 кіріс, 5 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
7,100124,coordinator,0.82220143,"жоларалық орталықтық +0.24; бақыланған айналым +0.15. 3 кіріс, 5 шығыс контрагенті; жоларалық орталықтық жоғары. Үйлестіруші — тек құрылымдық гипотеза."
8,100179,distributor,0.77583540,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
9,100178,distributor,0.77439309,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
10,100075,distributor,0.77391232,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
11,100125,distributor,0.77295078,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
12,100180,distributor,0.77247001,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
13,100021,distributor,0.77150847,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
14,100114,consolidator,0.77080492,жоларалық орталықтық +0.21; бақыланған айналым +0.20. 9 контрагенттен 1.03 млн ₸; 4 шығыс контрагенті. Кіріс ағындары осы жерде тоғысады.
15,100127,distributor,0.77054693,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
16,100022,distributor,0.77006616,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
17,100074,distributor,0.76958540,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
18,100024,distributor,0.76910463,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
19,100128,distributor,0.76862386,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
20,100076,distributor,0.76814309,жоларалық орталықтық +0.20; бақыланған айналым +0.14. 5 контрагентке 200 000 ₸; 2 көрінетін кіріс контрагенті. Тарату үлгісі байқалады.
